timestamp,ipSrc,ipDst,tcpPortSrc,tcpPortDst,udpPortSrc,udpPortDst,tcpLen,udpLen,payloadProtocolNumber
1584567452.481431,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.4832802,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.503691,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.5259626,173.194.188.6,10.10.0.10,,,443,42148,0,29,17
1584567452.526968,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.5285099,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.549242,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.571511,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.573258,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.593804,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.6160605,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.6177769,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.6383276,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.660615,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.662401,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.6828678,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.7051482,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.707623,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.7274294,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.749687,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.751504,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.771962,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.7942364,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.7964694,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.8165019,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.8387716,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.840895,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.8610456,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.8833199,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.8850029,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.90559,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.9278634,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.9296508,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.950137,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.9724061,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.974271,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.9946759,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.016958,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.018624,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.039216,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.0614948,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.078881,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.0837634,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.106042,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.107623,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.1283119,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.150584,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.1522338,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.172857,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.195128,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.1969929,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.2174141,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.239671,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.241241,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.261944,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.284211,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.285867,10.10.0.10,173.194.188.6,,,42148,443,0,50,17
1584567453.306488,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.328758,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.330386,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.351037,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.373304,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.375009,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.395581,173.194.188.6,10.10.0.10,,,443,42148,0,29,17
1584567453.3965971,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.4188588,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.4207606,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.441134,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.463409,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.465241,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.485671,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.507946,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.509611,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.5302205,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.552488,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.55436,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.5747788,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.597033,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.598878,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.619304,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.641593,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.643386,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.6638482,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.686121,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.6878786,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.708408,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.730663,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.732482,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.7529366,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.775213,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.777502,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.797481,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.819776,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.828728,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.8420212,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.864291,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.8661866,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.886585,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.9088366,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.9103892,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.9311092,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.953399,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.9551,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567453.975654,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567453.9979286,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.007103,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.0201955,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.042469,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.0444849,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.06474,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.08701,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.0889962,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.1092908,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.131562,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.1334698,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567454.1538384,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567454.176105,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
